index;PDB ID;Dek's category;Classification;Date;Authors;DOI;Pubmed ID
13;1IC9;engineered;DE NOVO PROTEIN             ;30-MAR-01;J.J.OTTESEN,B.IMPERIALI                                              ;http://dx.doi.org/10.1038/88604;11373623.0
14;1ICL;engineered;DE NOVO PROTEIN             ;02-APR-01;J.J.OTTESEN,B.IMPERIALI                                              ;http://dx.doi.org/10.1038/88604;11373623.0
15;1ICO;engineered;DE NOVO PROTEIN             ;02-APR-01;J.J.OTTESEN,B.IMPERIALI                                              ;http://dx.doi.org/10.1038/88604;11373623.0
16;1J4M;engineered;DE NOVO PROTEIN             ;10-OCT-01;M.T.PASTOR,M.LOPEZ DE LA PAZ,E.LACROIX,L.SERRANO,E.PEREZ-PAYA        ;http://dx.doi.org/10.1073/pnas.012583999;11782528.0
17;1JM0;relative of another de novo design;DE NOVO PROTEIN             ;17-JUL-01;L.DI COSTANZO,S.GEREMIA                                              ;http://dx.doi.org/10.1021/ja010506x;11749531.0
18;1JMB;relative of another de novo design;DE NOVO PROTEIN             ;18-JUL-01;L.DI COSTANZO,S.GEREMIA                                              ;http://dx.doi.org/10.1021/ja010506x;11749531.0
19;1JY4;small, non-systematic, and other;DE NOVO PROTEIN             ;11-SEP-01;J.VENKATRAMAN,G.A.NAGANA GOWDA,P.BALARAM                             ;http://dx.doi.org/10.1021/ja0174276;11982362.0
20;1JY6;small, non-systematic, and other;DE NOVO PROTEIN             ;11-SEP-01;J.VENKATRAMAN,G.A.NAGANA GOWDA,P.BALARAM                             ;http://dx.doi.org/10.1021/ja0174276;11982362.0
21;1JY9;small, non-systematic, and other;DE NOVO PROTEIN             ;11-SEP-01;H.E.STANGER,F.A.SYUD,J.F.ESPINOSA,I.GIRIAT,T.MUIR,S.H.GELLMAN        ;http://dx.doi.org/10.1073/pnas.211536998;11593011.0
22;1K09;small, non-systematic, and other;DE NOVO PROTEIN             ;18-SEP-01;N.CARULLA,C.WOODWARD,G.BARANY                                        ;http://dx.doi.org/10.1110/ps.4440102;12021452.0
23;1K43;small, non-systematic, and other;DE NOVO PROTEIN             ;05-OCT-01;M.T.PASTOR,M.LOPEZ DE LA PAZ,E.LACROIX,L.SERRANO,E.PEREZ-PAYA        ;http://dx.doi.org/10.1073/pnas.012583999;11782528.0
24;1KD8;engineered;DE NOVO PROTEIN             ;12-NOV-01;A.E.KEATING,V.N.MALASHKEVICH,B.TIDOR,P.S.KIM                         ;http://dx.doi.org/10.1073/pnas.261563398;11752430.0
25;1KD9;engineered;DE NOVO PROTEIN             ;12-NOV-01;A.E.KEATING,V.N.MALASHKEVICH,B.TIDOR,P.S.KIM                         ;http://dx.doi.org/10.1073/pnas.261563398;11752430.0
26;1KDD;engineered;DE NOVO PROTEIN             ;12-NOV-01;A.E.KEATING,V.N.MALASHKEVICH,B.TIDOR,P.S.KIM                         ;http://dx.doi.org/10.1073/pnas.261563398;11752430.0
27;1KYC;small, non-systematic, and other;DE NOVO PROTEIN             ;04-FEB-02;P.BURKHARD,S.IVANINSKII,A.LUSTIG                                     ;http://dx.doi.org/10.1016/S0022-2836(02)00114-6;12054832.0
28;1L2Y;evolved;DE NOVO PROTEIN             ;25-FEB-02;J.W.NEIDIGH,R.M.FESINMEYER,N.H.ANDERSEN                              ;http://dx.doi.org/10.1038/nsb798;11979279.0
29;1L4X;small, non-systematic, and other;DE NOVO PROTEIN             ;06-MAR-02;M.MEIER,A.LUSTIG,U.AEBI,P.BURKHARD                                   ;http://dx.doi.org/10.1006/jsbi.2002.4467;12064934.0
30;1LE0;small, non-systematic, and other;DE NOVO PROTEIN             ;09-APR-02;A.G.COCHRAN,N.J.SKELTON,M.A.STAROVASNIK                              ;http://dx.doi.org/10.1073/pnas.091100898;11331745.0
31;1LE1;small, non-systematic, and other;DE NOVO PROTEIN             ;09-APR-02;A.G.COCHRAN,N.J.SKELTON,M.A.STAROVASNIK                              ;http://dx.doi.org/10.1073/pnas.091100898;11331745.0
32;1LE3;small, non-systematic, and other;PROTEIN BINDING             ;09-APR-02;A.G.COCHRAN,N.J.SKELTON,M.A.STAROVASNIK                              ;http://dx.doi.org/10.1073/pnas.091100898;11331745.0
33;1LQ7;original de novo design;DE NOVO PROTEIN             ;09-MAY-02;Q.-H.DAI,C.TOMMOS,E.J.FUENTES,M.BLOMBERG,P.L.DUTTON,A.J.WAND         ;http://dx.doi.org/10.1021/ja0264201;12224922.0
34;1LT1;relative of another de novo design;DE NOVO PROTEIN             ;20-MAY-02;L.DI COSTANZO,S.GEREMIA                                              ;http://dx.doi.org/10.1002/anie.200390127;12569505.0
35;1M3W;original de novo design;DE NOVO PROTEIN             ;01-JUL-02;S.S.HUANG,B.R.GIBNEY,S.E.STAYROOK,P.L.DUTTON,M.LEWIS                 ;http://dx.doi.org/10.1016/s0022-2836(02)01441-9;12589764.0
36;1N0Q;relative of another de novo design;STRUCTURAL PROTEIN           ;14-OCT-02;L.K.MOSAVI,D.L.MINOR JR.,Z.-Y.PENG                                   ;http://dx.doi.org/10.1073/pnas.252537899;12461176.0
37;1N0R;original de novo design;STRUCTURAL PROTEIN           ;14-OCT-02;L.K.MOSAVI,D.L.MINOR JR.,Z.-Y.PENG                                   ;http://dx.doi.org/10.1073/pnas.252537899;12461176.0
38;1MJ0;original de novo design;DE NOVO PROTEIN             ;26-AUG-02;A.KOHL,H.K.BINZ,P.FORRER,M.T.STUMPP,A.PLUECKTHUN,                     M.G.GRUETTER                                                        ;http://dx.doi.org/10.1073/pnas.0337680100;12566564.0
39;1NA3;relative of another de novo design;DE NOVO PROTEIN             ;26-NOV-02;E.MAIN,Y.XIONG,M.COCCO,L.D'ANDREA,L.REGAN                            ;http://dx.doi.org/10.1016/s0969-2126(03)00076-5;12737816.0
40;1NA0;original de novo design;DE NOVO PROTEIN             ;26-NOV-02;E.MAIN,Y.XIONG,M.COCCO,L.D'ANDREA,L.REGAN                            ;http://dx.doi.org/10.1016/s0969-2126(03)00076-5;12737816.0
41;1N09;small, non-systematic, and other;DE NOVO PROTEIN             ;11-OCT-02;S.J.RUSSELL,T.BLANDL,N.J.SKELTON,A.G.COCHRAN                         ;http://dx.doi.org/10.1021/ja028075l;12517150.0
42;1N0A;small, non-systematic, and other;DE NOVO PROTEIN             ;11-OCT-02;T.BLANDL,A.G.COCHRAN,N.J.SKELTON                                     ;http://dx.doi.org/10.1110/ps.0228603;12538887.0
43;1N0C;small, non-systematic, and other;DE NOVO PROTEIN             ;11-OCT-02;S.J.RUSSEL,T.BLANDL,N.J.SKELTON,A.G.COCHRAN                          ;http://dx.doi.org/10.1021/ja028075l;12517150.0
44;1N0D;small, non-systematic, and other;DE NOVO PROTEIN             ;11-OCT-02;S.J.RUSSELL,T.BLANDL,N.J.SKELTON,A.G.COCHRAN                         ;http://dx.doi.org/10.1021/ja028075l;12517150.0
45;1NVO;relative of another de novo design;UNKNOWN FUNCTION            ;04-FEB-03;O.MAGLIO,F.NASTRI,V.PAVONE,A.LOMBARDI,W.F.DEGRADO                    ;http://dx.doi.org/10.1073/pnas.0730771100;12655072.0
46;1OVR;relative of another de novo design;DE NOVO PROTEIN             ;27-MAR-03;L.DI COSTANZO,S.GEREMIA                                              ;http://dx.doi.org/10.1021/ja054199x;16332076.0
47;1OVU;relative of another de novo design;DE NOVO PROTEIN             ;27-MAR-03;L.DI COSTANZO,S.GEREMIA                                              ;http://dx.doi.org/10.1021/ja054199x;16332076.0
48;1OVV;relative of another de novo design;DE NOVO PROTEIN             ;27-MAR-03;L.DI COSTANZO,S.GEREMIA                                              ;http://dx.doi.org/10.1021/ja054199x;16332076.0
49;1P68;original de novo design;DE NOVO PROTEIN             ;29-APR-03;Y.WEI,S.KIM,D.FELA,J.BAUM,M.H.HECHT                                  ;http://dx.doi.org/10.1073/pnas.1835644100;14593201.0
50;1PBZ;small, non-systematic, and other;DE NOVO PROTEIN             ;15-MAY-03;J.WANG,M.M.ROSENBLATT,K.S.SUSLICK                                    ;http://dx.doi.org/10.1073/pnas.2231273100;14595023.0
51;1PSV;engineered;DESIGNED PEPTIDE            ;29-OCT-97;B.I.DAHIYAT,C.A.SARISKY,S.L.MAYO                                     ;http://dx.doi.org/10.1006/jmbi.1997.1341;9367772.0
52;1PYZ;engineered;METAL BINDING PROTEIN          ;09-JUL-03;L.DI COSTANZO,S.GEREMIA,L.RANDACCIO,F.NASTRI,O.MAGLIO,A.LOMBARDI,     V.PAVONE                                                            ;http://dx.doi.org/10.1007/s00775-004-0600-x;15551102.0
53;1QP6;original de novo design;DE NOVO PROTEIN             ;01-JUN-99;R.B.HILL,W.F.DEGRADO                                                 ;http://dx.doi.org/10.1021/ja9733649;
54;1QYS;original de novo design;DE NOVO PROTEIN             ;11-SEP-03;B.KUHLMAN,G.DANTAS,G.C.IRETON,G.VARANI,B.L.STODDARD,D.BAKER          ;http://dx.doi.org/10.1126/science.1089427;14631033.0
55;2MBM;original de novo design;DE NOVO PROTEIN             ;02-AUG-13;G.LIU,A.L.ZANGHELLINI,K.CHAN,R.XIAO,H.JANJUA,S.KOGAN,M.MAGLAQUI,      C.CICCOSANTI,T.B.ACTON,G.KORNHABER,J.K.EVERETT,D.BAKER,              G.T.MONTELIONE,NORTHEAST STRUCTURAL GENOMICS CONSORTIUM (NESG)      ;;
56;1RH4;original de novo design;COILED COIL               ;07-OCT-98;P.B.HARBURY,J.J.PLECS,B.TIDOR,T.ALBER,P.S.KIM                        ;http://dx.doi.org/10.1126/science.282.5393.1462;9822371.0
57;1S9Z;original de novo design;DE NOVO PROTEIN             ;06-FEB-04;R.A.KAMMERER,D.KOSTREWA,J.ZURDO,A.DETKEN,C.GARCIA-ECHEVERRIA,         J.D.GREEN,S.A.MULLER,B.H.MEIER,F.K.WINKLER,C.M.DOBSON,M.O.STEINMETZ ;http://dx.doi.org/10.1073/pnas.0306786101;15070736.0
58;1SN9;relative of another de novo design;DE NOVO PROTEIN             ;10-MAR-04;M.H.ALI,E.PEISACH,K.N.ALLEN,B.IMPERIALI                              ;http://dx.doi.org/10.1073/pnas.0401245101;15302930.0
59;1SNA;relative of another de novo design;DE NOVO PROTEIN             ;10-MAR-04;M.H.ALI,E.PEISACH,K.N.ALLEN,B.IMPERIALI                              ;http://dx.doi.org/10.1073/pnas.0401245101;15302930.0
60;1SNE;relative of another de novo design;DE NOVO PROTEIN             ;10-MAR-04;M.H.ALI,E.PEISACH,K.N.ALLEN,B.IMPERIALI                              ;http://dx.doi.org/10.1073/pnas.0401245101;15302930.0
61;1T8J;relative of another de novo design;DE NOVO PROTEIN             ;13-MAY-04;M.D.STRUTHERS,J.J.OTTESEN,B.IMPERIALI                                ;http://dx.doi.org/10.1016/S1359-0278(98)00015-7;9565754.0
62;1TGG;original de novo design;DE NOVO PROTEIN             ;28-MAY-04;J.J.PLECS,P.B.HARBURY,P.S.KIM,T.ALBER                                ;http://dx.doi.org/10.1016/j.jmb.2004.06.051;15313624.0
63;1TJB;small, non-systematic, and other;DE NOVO PROTEIN             ;03-JUN-04;M.NITZ,M.SHERAWAT,K.J.FRANZ,E.PEISACH,K.N.ALLEN,B.IMPERIALI          ;http://dx.doi.org/10.1002/anie.200460028;15248272.0
64;1U0I;original de novo design;DE NOVO PROTEIN             ;13-JUL-04;D.A.LINDHOUT,J.R.LITOWSKI,P.MERCIER,R.S.HODGES,B.D.SYKES             ;http://dx.doi.org/10.1002/bip.20150;15457434.0
65;1U2U;relative of another de novo design;TRANSCRIPTION              ;20-JUL-04;D.N.MARTI,H.R.BOSSHARD                                               ;http://dx.doi.org/10.1021/bi048771t;15449933.0
66;1VL3;engineered;DE NOVO PROTEIN             ;05-JUL-04;A.LOMBARDI,F.NASTRI,D.MARASCO,O.MAGLIO,G.DE SANCTIS,F.SINIBALDI,      R.SANTUCCI,M.COLETTA,V.PAVONE                                       ;http://dx.doi.org/10.1002/chem.200304831;14639648.0
67;1VRZ;engineered;DE NOVO PROTEIN             ;14-OCT-05;RUDRESH,S.RAMAKUMAR,U.A.RAMAGOPAL,Y.INAI,D.SAHAL                     ;http://dx.doi.org/10.1016/j.str.2004.02.014;15016355.0
68;1XOF;engineered;DE NOVO PROTEIN             ;06-OCT-04;M.H.ALI,C.M.TAYLOR,G.GRIGORYAN,K.N.ALLEN,B.IMPERIALI,A.E.KEATING     ;http://dx.doi.org/10.1016/j.str.2004.12.009;15698566.0
69;1Y47;relative of another de novo design;DE NOVO PROTEIN             ;30-NOV-04;S.J.LAHR,D.E.ENGEL,S.E.STAYROOK,O.MAGLIO,B.NORTH,S.GEREMIA,           A.LOMBARDI,W.F.DEGRADO                                              ;http://dx.doi.org/10.1016/j.jmb.2004.12.016;15713492.0
70;1YMZ;original de novo design;UNKNOWN FUNCTION            ;22-JAN-05;M.SOCOLICH,S.W.LOCKLESS,W.P.RUSS,H.LEE,K.H.GARDNER,R.RANGANATHAN     ;http://dx.doi.org/10.1038/nature03991;16177782.0
71;2A3D;original de novo design;THREE-HELIX BUNDLE           ;01-APR-99;S.T.R.WALSH,H.CHENG,J.W.BRYSON,H.RODER,W.F.DEGRADO                   ;http://dx.doi.org/10.1073/pnas.96.10.5486;10318910.0
72;2AVP;relative of another de novo design;DE NOVO PROTEIN             ;30-AUG-05;T.KAJANDER,A.L.CORTAJARENA,E.R.MAIN,S.MOCHRIE,L.REGAN                ;http://dx.doi.org/10.1107/S0907444907024353;17582171.0
73;2BKG;relative of another de novo design;DE NOVO PROTEIN             ;16-FEB-05;H.K.BINZ,A.KOHL,A.PLUCKTHUN,M.G.GRUTTER                              ;http://dx.doi.org/10.1002/prot.20930;16493627.0
74;2BH8;evolved;TRANSCRIPTION              ;07-JAN-05;S.DE BONO,L.RIECHMANN,E.GIRARD,R.L.WILLIAMS,G.WINTER                 ;http://dx.doi.org/10.1073/pnas.0407298102;15671167.0
75;2CW1;original de novo design;DE NOVO PROTEIN             ;15-JUN-05;Y.ISOGAI,Y.ITO,T.IKEYA,Y.SHIRO,M.OTA                                 ;http://dx.doi.org/10.1016/j.jmb.2005.10.005;16289118.0
76;2EVQ;small, non-systematic, and other;DE NOVO PROTEIN             ;31-OCT-05;N.H.ANDERSEN,K.A.OLSEN,R.M.FESINMEYER                                ;http://dx.doi.org/10.1021/ja054971w;16669679.0
77;2FO7;relative of another de novo design;DE NOVO PROTEIN             ;12-JAN-06;T.KAJANDER,A.L.CORTAJARENA,L.REGAN                                   ;http://dx.doi.org/10.1107/S0907444907024353;17582171.0
78;2HYZ;relative of another de novo design;DE NOVO PROTEIN             ;08-AUG-06;T.KAJANDER,A.L.CORTAJARENA,L.REGAN                                   ;http://dx.doi.org/10.1107/S0907444907024353;17582171.0
79;2JAB;relative of another de novo design;DE NOVO PROTEIN             ;27-NOV-06;C.ZAHND,E.WYLER,J.M.SCHWENK,D.STEINER,M.C.LAWRENCE,N.M.MCKERN,        F.PECORARI,C.W.WARD,T.O.JOOS,A.PLUCKTHUN                            ;http://dx.doi.org/10.1016/j.jmb.2007.03.028;17466328.0
80;2JGO;original de novo design;DE NOVO PROTEIN             ;13-FEB-07;D.S.TOUW,C.E.NORDMAN,J.A.STUCKEY,V.L.PECORARO                        ;http://dx.doi.org/10.1073/pnas.0701979104;17609383.0
81;2JOF;relative of another de novo design;DE NOVO PROTEIN             ;09-MAR-07;B.BARUA,N.H.ANDERSEN                                                 ;http://dx.doi.org/10.1093/protein/gzm082;18203802.0
82;2JRE;relative of another de novo design;DE NOVO PROTEIN             ;25-JUN-07;C.LARSON,M.STIFFLER,P.LI,M.ROSEN,G.MACBEATH,R.RANGANATHAN            ;;
83;2JST;relative of another de novo design;DE NOVO PROTEIN             ;12-JUL-07;T.CUI,V.BONDARENKO,D.MA,C.CANLAS,N.R.BRANDON,J.S.JOHANSSON,P.TANG,    Y.XU                                                                ;http://dx.doi.org/10.1529/biophysj.107.117853;18310239.0
84;2JUA;original de novo design;DE NOVO PROTEIN             ;16-AUG-07;A.GO,S.KIM,J.S.BAUM,M.H.HECHT                                        ;http://dx.doi.org/10.1110/ps.073377908;18436954.0
85;2KDL;engineered;HUMAN SERUM ALBUMIN BINDING PROTEIN   ;12-JAN-09;Y.HE,P.ALEXANDER,Y.CHEN,P.BRYAN,J.ORBAN                              ;http://dx.doi.org/10.1073/pnas.0906408106;19923431.0
86;2KDM;engineered;IGG BINDING PROTEIN           ;12-JAN-09;Y.HE,P.ALEXANDER,Y.CHEN,P.BRYAN,J.ORBAN                              ;http://dx.doi.org/10.1073/pnas.0906408106;19923431.0
87;2KI0;original de novo design;DE NOVO PROTEIN             ;18-APR-09;H.LIANG,H.CHEN,K.FAN,P.WEI,X.GUO,C.JIN,C.ZENG,C.TANG,L.LAI           ;http://dx.doi.org/10.1002/anie.200805476;19347908.0
88;2KIK;relative of another de novo design;DE NOVO PROTEIN             ;06-MAY-09;O.MAGLIO,A.LOMBARDI                                                  ;;
89;2KL8;original de novo design;DE NOVO PROTEIN             ;30-JUN-09;G.LIU,N.KOGA,M.JIANG,R.KOGA,R.XIAO,C.CICCOSANTI,D.BAKER,              G.T.MONTELIONE,NORTHEAST STRUCTURAL GENOMICS CONSORTIUM (NESG)      ;http://dx.doi.org/10.1038/nature11600;23135467.0
90;2LN3;original de novo design;DE NOVO PROTEIN             ;15-DEC-11;G.LIU,R.KOGA,N.KOGA,R.XIAO,H.LEE,H.JANJUA,E.KOHAN,T.B.ACTON,          J.K.EVERETT,D.BAKER,G.T.MONTELIONE,NORTHEAST STRUCTURAL GENOMICS     CONSORTIUM (NESG)                                                   ;http://dx.doi.org/10.1038/nature11600;23135467.0
91;2LTA;original de novo design;DE NOVO PROTEIN             ;15-MAY-12;G.LIU,R.KOGA,N.KOGA,R.XIAO,K.PEDERSON,K.HAMILTON,E.KOHAN,T.B.ACTON,   G.KORNHABER,J.K.EVERETT,D.BAKER,G.T.MONTELIONE,NORTHEAST STRUCTURAL  GENOMICS CONSORTIUM (NESG)                                          ;http://dx.doi.org/10.1038/nature11600;23135467.0
92;2LV8;original de novo design;DE NOVO PROTEIN             ;29-JUN-12;G.LIU,R.KOGA,N.KOGA,R.XIAO,K.PEDERSON,K.HAMILTON,C.CICCOSANTI,        T.B.ACTON,J.K.EVERETT,D.BAKER,G.T.MONTELIONE,NORTHEAST STRUCTURAL    GENOMICS CONSORTIUM (NESG)                                          ;http://dx.doi.org/10.1038/nature11600;23135467.0
93;2LVB;original de novo design;DE NOVO PROTEIN             ;30-JUN-12;G.LIU,N.KOGA,R.KOGA,R.XIAO,K.HAMILTON,E.KOHAN,T.B.ACTON,G.KORNHABER,  J.K.EVERETT,D.BAKER,G.T.MONTELIONE,NORTHEAST STRUCTURAL GENOMICS     CONSORTIUM (NESG)                                                   ;http://dx.doi.org/10.1038/nature11600;23135467.0
94;2KPO;relative of another de novo design;DE NOVO PROTEIN             ;17-OCT-09;G.LIU,R.KOGA,N.KOGA,R.XIAO,K.HAMILTON,C.CICCOSANTI,T.B.ACTON,D.BAKER, G.T.MONTELIONE,NORTHEAST STRUCTURAL GENOMICS CONSORTIUM (NESG)      ;;
95;2L69;relative of another de novo design;DE NOVO PROTEIN             ;17-NOV-10;G.LIU,N.KOGA,R.KOGA,R.XIAO,A.MAO,B.MAO,D.PATEL,C.CICCOSANTI,          K.HAMILTON,T.B.ACTON,D.BAKER,G.T.MONTELIONE,NORTHEAST STRUCTURAL     GENOMICS CONSORTIUM (NESG)                                          ;;
96;2L82;relative of another de novo design;DE NOVO PROTEIN             ;31-DEC-10;G.LIU,N.KOGA,R.KOGA,R.XIAO,K.HAMILTON,H.JANJUA,S.TONG,T.B.ACTON,      J.EVERETT,D.BAKER,G.T.MONTELIONE,NORTHEAST STRUCTURAL GENOMICS       CONSORTIUM (NESG)                                                   ;;
97;2LCI;relative of another de novo design;DE NOVO PROTEIN             ;29-APR-11;G.LIU,N.KOGA,R.KOGA,R.XIAO,H.JANJUA,C.CICCOSANTI,H.LEE,T.B.ACTON,     J.EVERETT,D.BAKER,G.T.MONTELIONE,NORTHEAST STRUCTURAL GENOMICS       CONSORTIUM (NESG)                                                   ;;
98;2LND;relative of another de novo design;DE NOVO PROTEIN             ;23-DEC-11;G.LIU,N.KOGA,R.KOGA,R.XIAO,H.LEE,H.JANJUA,E.KOHAN,T.B.ACTON,          J.K.EVERETT,D.BAKER,G.T.MONTELIONE,NORTHEAST STRUCTURAL GENOMICS     CONSORTIUM (NESG)                                                   ;;
99;2LR0;relative of another de novo design;DE NOVO PROTEIN             ;19-MAR-12;G.LIU,N.KOGA,R.KOGA,R.XIAO,H.LEE,H.JANJUA,E.KOHAN,T.B.ACTON,          J.K.EVERETT,D.BAKER,G.T.MONTELIONE,NORTHEAST STRUCTURAL GENOMICS     CONSORTIUM (NESG)                                                   ;;
100;2LRH;relative of another de novo design;DE NOVO PROTEIN             ;30-MAR-12;G.LIU,N.KOGA,R.KOGA,R.XIAO,H.LEE,H.JANJUA,E.KOHAN,T.B.ACTON,          J.K.EVERETT,D.BAKER,G.T.MONTELIONE,NORTHEAST STRUCTURAL GENOMICS     CONSORTIUM (NESG)                                                   ;;
101;2LSE;relative of another de novo design;DE NOVO PROTEIN             ;28-APR-12;B.SATHYAMOORTHY,S.PULAVARTI,G.MURPHY,J.L.MILLS,A.ELETSKI,B.S.DER,     M.C.MACHIUS,B.KUHLMAN,G.T.MONTELIONE,T.SZYPERSKI,NORTHEAST           STRUCTURAL GENOMICS CONSORTIUM (NESG)                               ;;
102;2MR5;relative of another de novo design;DE NOVO PROTEIN             ;01-JUL-14;S.PULAVARTI,L.NIVON,M.MAGLAQUI,H.JANJUA,L.MAO,R.XIAO,G.KORNHABER,     D.BAKER,G.MONTELIONE,T.SZYPERSKI,NORTHEAST STRUCTURAL GENOMICS       CONSORTIUM (NESG)                                                   ;;
103;2MR6;relative of another de novo design;DE NOVO PROTEIN             ;01-JUL-14;X.XU,L.NIVON,J.F.FEDERIZON,M.MAGLAQUI,H.JANJUA,L.MAO,R.XIAO,          G.KORNHABER,D.BAKER,G.T.MONTELIONE,T.SZYPERSKI,NORTHEAST STRUCTURAL  GENOMICS CONSORTIUM (NESG)                                          ;;
104;2MRA;relative of another de novo design;DE NOVO PROTEIN             ;02-JUL-14;S.V.S.R.K.PULAVARTI,Y.KIPNIS,D.SUKUMARAN,M.MAGLAQUI,H.JANJUA,L.MAO,   R.XIAO,G.KORNHABER,D.BAKER,G.T.MONTELIONE,T.SZYPERSKI,NORTHEAST      STRUCTURAL GENOMICS CONSORTIUM (NESG)                               ;;
105;2MTL;relative of another de novo design;DE NOVO PROTEIN             ;19-AUG-14;G.LIU,N.KOGA,R.KOGA,R.XIAO,K.HAMILTON,C.CICCOSANTI,S.SAHDEV,E.KOHAN,  T.B.ACTON,G.KORNHABER,J.K.EVERETT,D.BAKER,G.T.MONTELIONE,NORTHEAST   STRUCTURAL GENOMICS CONSORTIUM (NESG)                               ;;
106;2N2T;relative of another de novo design;UNKNOWN FUNCTION, STRUCTURAL GENOMICS  ;14-MAY-15;G.LIU,Y.LIN,N.KOGA,R.KOGA,R.XIAO,H.JANJUA,K.HAMILTON,T.B.ACTON,       G.KORNHABER,J.K.EVERETT,D.BAKER,G.T.MONTELIONE,NORTHEAST STRUCTURAL  GENOMICS CONSORTIUM (NESG)                                          ;;
107;2N2U;relative of another de novo design;UNKNOWN FUNCTION, STRUCTURAL GENOMICS  ;14-MAY-15;G.LIU,Y.LIN,N.KOGA,R.KOGA,R.XIAO,H.JANJUA,K.HAMILTON,K.PEDERSON,      T.B.ACTON,G.KORNHABER,J.K.EVERETT,D.BAKER,G.T.MONTELIONE,NORTHEAST   STRUCTURAL GENOMICS CONSORTIUM (NESG)                               ;;
108;2N3Z;relative of another de novo design;STRUCTURAL GENOMICS, DE NOVO PROTEIN  ;15-JUN-15;G.LIU,Y.LIN,N.KOGA,R.KOGA,R.XIAO,H.JANJUA,K.PEDERSON,T.B.ACTON,       G.KORNHABER,J.K.EVERETT,D.BAKER,G.T.MONTELIONE,NORTHEAST STRUCTURAL  GENOMICS CONSORTIUM (NESG)                                          ;;
109;2N75;relative of another de novo design;DE NOVO PROTEIN             ;03-SEP-15;G.LIU,Y.LIN,N.KOGA,R.KOGA,R.XIAO,H.JANJUA,K.PEDERSON,T.B.ACTON,       G.KORNHABER,J.K.EVERETT,D.BAKER,G.T.MONTELIONE,NORTHEAST STRUCTURAL  GENOMICS CONSORTIUM (NESG)                                          ;;
110;2KLW;original de novo design;DE NOVO PROTEIN             ;09-JUL-09;J.A.FALLAS,V.GAUBA,J.D.HARTGERINK                                    ;http://dx.doi.org/10.1074/jbc.M109.014753;19625247.0
